회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)금호에이치티,214330,Dec-05,24441,6387,18053,35039,27041,7998,2639,5359,4144
(주)금호에이치티,214330,Dec-06,26809,6047,20763,34018,26516,7502,2742,4760,3514
(주)금호에이치티,214330,Dec-07,30753,7042,23711,33457,25932,7525,2873,4652,3753
(주)금호에이치티,214330,Dec-08,33818,7406,26412,35384,28840,6544,2841,3703,3621
(주)금호에이치티,214330,Dec-09,39138,9956,29181,45190,39296,5895,2860,3035,3085
(주)금호에이치티,214330,Dec-10,47413,13357,34057,69193,56719,12474,4143,8331,7105
(주)금호에이치티,214330,Dec-11,62559,23436,39123,85311,74152,11159,3924,7235,5579
(주)금호에이치티,214330,Dec-12,76273,33449,42824,106418,95755,10663,4212,6450,3437
(주)금호에이치티,214330,Dec-13,87131,38473,48658,124006,109998,14008,4395,9614,6730
(주)금호에이치티,214330,Dec-14,102363,40358,62006,175222,152456,22766,6515,16251,13520
(주)금호에이치티,214330,Dec-15,109367,27250,82117,181780,151766,30014,9500,20514,16768
(주)금호에이치티,214330,Dec-16,151787,59073,92714,189734,166275,23459,6978,16481,12888
(주)금호에이치티,214330,Dec-17,146407,48846,97561,165485,147105,18381,7373,11008,5434
(주)금호에이치티,214330,Dec-18,230269,99204,131065,189250,174072,15179,7665,7514,7103
(주)금호에이치티,214330,Dec-19,314666,133896,180770,221734,209806,11928,7398,4530,1795
(주)네오오토,212560,Dec-10,48276,42244,6032,56828,47713,9115,4245,4870,3032
(주)네오오토,212560,Dec-11,66889,54681,12207,103999,86620,17379,8682,8697,5611
(주)네오오토,212560,Dec-12,68176,54253,13922,106321,94353,11969,9136,2832,1750
(주)네오오토,212560,Dec-13,77423,59340,18084,119498,106520,12978,9252,3726,4161
(주)네오오토,212560,Dec-14,90933,48761,42172,108776,94398,14377,6114,8264,6831
(주)네오오토,212560,Dec-15,120456,59107,61349,115394,100703,14691,5458,9233,7651
(주)네오오토,212560,Dec-16,134857,65808,69048,140544,124333,16211,6159,10052,7883
(주)네오오토,212560,Dec-17,137107,64597,72510,128249,119701,8548,6942,1606,4136
(주)네오오토,212560,Dec-18,142508,64968,77540,115244,105266,9978,7555,2422,5798
(주)네오오토,212560,Dec-19,141061,61703,79358,118442,109319,9122,8327,795,2498
(주)네오티스,85910,Dec-02,8074,4929,3144,1830,1623,207,1006,-799,-959
(주)네오티스,85910,Dec-03,12954,9794,3159,3977,3182,794,603,192,-582
(주)네오티스,85910,Dec-04,15402,10686,4716,10108,7674,2434,1033,1401,1556
(주)네오티스,85910,Dec-05,16778,7573,9204,16871,10586,6285,1383,4902,4350
(주)네오티스,85910,Dec-06,30627,12202,18425,24864,15196,9667,2501,7167,6183
(주)네오티스,85910,Dec-07,57864,7151,50713,27512,16613,10898,3486,7412,7000
(주)네오티스,85910,Dec-08,55642,4480,51162,20725,14966,5759,3404,2356,3734
(주)네오티스,85910,Dec-09,61091,5739,55351,23095,16832,6262,3448,2814,3340
(주)네오티스,85910,Dec-10,60693,6445,54248,23432,17570,5862,3649,2214,2055
(주)네오티스,85910,Dec-11,68203,9152,59051,29184,22267,6917,3664,3254,3976
(주)네오티스,85910,Dec-12,70371,10222,60149,34981,26629,8352,4448,3904,4314
(주)네오티스,85910,Dec-13,82404,21893,60511,36284,28532,7752,4763,2989,2231
(주)네오티스,85910,Dec-14,80613,17290,63324,37659,29865,7794,4663,3130,2581
(주)네오티스,85910,Dec-15,80839,22205,58634,35731,29459,6272,4688,1584,-4379
